Review,Padded_Sequence,Sentiment
the food is delicious and just spicy enough so be sure to ask for spicier if you prefer it that way,"[  1  11   7  63   2  50 192 193  20  23 151   6 326  15 695  44  27 696
   9  30 152   0   0]",1
overpriced for what you are getting,"[213  15  64  27  25 187   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
this place is good,[ 8 14  7 16  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],1
the worst was the salmon sashimi,"[  1  94   4   1 322 327   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the refried beans that came with my meal were dried out and crusty and the food was bland,"[  1 697 441  30 102  26  18 194  33 698  75   2 699   2   1  11   4 112
   0   0   0   0   0]",0
gave up trying to eat any of the crust teeth still sore,"[328  60 700   6 103 150  10   1 442 701 195 702   0   0   0   0   0   0
   0   0   0   0   0]",0
on the up side their cafe serves really good food,"[ 31   1  60 214  54 329 443  41  16  11   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
everything was good and tasty,"[166   4  16   2 131   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
great steak great sides great wine amazing desserts,"[ 22 153  22 444  22 258  68 330   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
spend your money and time some place else,"[445  55 215   2  40  81  14 703   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i really do recommend this place you can go wrong with this donut place,"[  3  41 133 127   8  14  27 130  37 331  26   8 704  14   0   0   0   0
   0   0   0   0   0]",1
it shouldnt take 30 min for pancakes and eggs,"[  9 705 191 259 446  15 447   2 706   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
this is an unbelievable bargain,"[  8   7  43 707 708   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
great atmosphere friendly and fast service,"[ 22 260  59   2 261  17   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
good beer  drink selection and good food selection,"[ 16 262 332 196   2  16  11 196   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old,"[  1 709 710 256  25 711  95 134  38   5 712 713 714   6   1 715  10   5
 448 449 216   0   0]",0
not much seafood and like 5 strings of pasta at the bottom,"[ 12  88 450   2  38 167 716  10 263  34   1 717   0   0   0   0   0   0
   0   0   0   0   0]",0
an excellent new restaurant by an experienced frenchman,"[ 43 147 264  69  76  43 718 719   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
everyone is treated equally special,"[256   7 324 333 217   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the food was terrible,"[  1  11   4 135   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
this is one of the better buffets that i have been to,"[  8   7  65  10   1 154 720  30   3  28  82   6   0   0   0   0   0   0
   0   0   0   0   0]",1
frozen pucks of disgust with some of the worst people behind the register,"[451 721  10 722  26  81  10   1  94 168 452   1 723   0   0   0   0   0
   0   0   0   0   0]",0
service is friendly and inviting,"[ 17   7  59   2 724   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside,"[ 19  89   1 453 334   2   9   4 725   2 197  31   1 218  26   5  66 454
  31   1 219   0   0]",1
one of the few places in phoenix that i would definately go back to again ,"[ 65  10   1 169 265  13 266  30   3  52 455  37  29   6  77   0   0   0
   0   0   0   0   0]",1
i will be back many times soon,"[  3  45  23  29 155 156 136   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
we arent ones to make a scene at restaurants but i just dont get itdefinitely lost the love after this one,"[ 19 456 726   6 198   5 727  34 457  35   3  50  47 113 728 458   1  83
 114   8  65   0   0]",0
i recently tried caballeros and i have been back every week since,"[  3 729 335 730   2   3  28  82  29 170 459 267   0   0   0   0   0   0
   0   0   0   0   0]",1
go to place for gyros,"[ 37   6  14  15 460   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
food was so gooodd,"[ 11   4  20 731   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the folks at otto always make us feel so welcome and special,"[  1 336  34 732 115 198  90 109  20 733   2 217   0   0   0   0   0   0
   0   0   0   0   0]",1
this place has it,"[  8  14 116   9   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
sooooo good,"[734  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
things that went wrong  they burned the saganaki,"[461  30 117 331  36 735   1 736   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the chains which im no fan of beat this place easily,"[  1 737  57  78  67 738  10 462   8  14 739   0   0   0   0   0   0   0
   0   0   0   0   0]",0
soggy and not good,"[463   2  12  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
they really want to make your experience a good one,"[ 36  41 129   6 198  55  74   5  16  65   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
my sashimi was poor quality being soggy and tasteless,"[ 18 327   4 268 137 118 463   2 337   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
pretty awesome place,"[ 79 138  14   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
to my disbelief each dish qualified as the worst version of these foods i have ever tasted,"[  6  18 740 220 221 741  46   1  94 742  10 269 743   3  28  51 157   0
   0   0   0   0   0]",0
great food for the price which is very high quality and house made,"[ 22  11  15   1 199  57   7  24 438 137   2 338 104   0   0   0   0   0
   0   0   0   0   0]",1
my wife had the lobster bisque soup which was lukewarm,"[ 18 339  21   1 744 745 270  57   4 464   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the server was very negligent of our needs and made us feel very unwelcome i would not suggest this place,"[  1 119   4  24 746  10  42 271   2 104  90 109  24 747   3  52  12 748
   8  14   0   0   0]",0
the steak and the shrimp are in my opinion the best entrees at gc,"[  1 153   2   1 340  25  13  18 749   1  48 465  34 750   0   0   0   0
   0   0   0   0   0]",1
what happened next was prettyoff putting,"[ 64 466 139   4 751 752   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
seriously flavorful delights folks,"[171 467 753 336   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
she was quite disappointed although some blame needs to be placed at her door,"[172   4 272  73 341  81 754 271   6  23 755  34 342 468   0   0   0   0
   0   0   0   0   0]",0
as much as id like to go back i cant get passed the atrocious service and will never return,"[ 46  88  46 222  38   6  37  29   3 223 113 756   1 757  17   2  45  56
 273   0   0   0   0]",0
this isnt a small family restaurant this is a fine dining establishment,"[  8 343   5 344 274  69   8   7   5 758 189 469   0   0   0   0   0   0
   0   0   0   0   0]",1
the problem i have is that they charge 1199 for a sandwich that is no bigger than a subway sub which offers better and more amount of vegetables,"[ 30  36 760 761  15   5 275  30   7  67 762 110   5 345 763  57 470 154
   2  86 471  10 276]",0
i left with a stomach ache and felt sick the rest of the day,"[  3 346  26   5 764 765   2 224 277   1 766  10   1 158   0   0   0   0
   0   0   0   0   0]",0
i ordered the voodoo pasta and it was the first time id had really excellent pasta since going gluten free several years ago,"[  3  89   1 767 263   2   9   4   1 100  40 222  21  41 147 263 267  91
 768 769 472 473 474]",1
the presentation of the food was awful,"[  1 475  10   1  11   4 347   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
they know how to make them here,"[ 36 159 140   6 198 146  32   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the grilled chicken was so tender and yellow from the saffron seasoning,"[  1 476 105   4  20 197   2 770 106   1 771 772   0   0   0   0   0   0
   0   0   0   0   0]",1
he was extremely rude and really there are so many other restaurants i would love to dine at during a weekend in vegas,"[ 80   4 278 279   2  41  49  25  20 155 120 457   3  52  83   6 773  34
 225   5 774  13  58]",0
in fact im going to round up to 4 stars just because she was so awesome,"[ 13 477  78  91   6 775  60   6 478 107  50 160 172   4  20 138   0   0
   0   0   0   0   0]",1
so we went to tigerlilly and had a fantastic afternoon,"[ 20  19 117   6 776   2  21   5 200 777   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the wife hated her meal coconut shrimp and our friends really did not enjoy their meals either,"[  1 339 778 342 194 779 340   2  42 173  41  61  12 280  54 348 281   0
   0   0   0   0   0]",0
they have horrible attitudes towards customers and talk down to each one when customers dont enjoy their food,"[ 36  28 479 780 781 480   2 349 226   6 220  65  70 480  47 280  54  11
   0   0   0   0   0]",0
great subway in fact its so good when you come here every other subway will not meet your expectations,"[ 22 345  13 477  92  20  16  70  27 174  32 170 120 345  45  12 782  55
 783   0   0   0   0]",1
wow very spicy but delicious,"[350  24 192  35  63   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the veggitarian platter is out of this world,"[  1 784 785   7  75  10   8 481   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the ambiance here did not feel like a buffet setting but more of a douchey indoor garden for tea and biscuits,"[  1 188  32  61  12 109  38   5 175 351  35  86  10   5 786 787 788  15
 352   2 789   0   0]",0
the bathroom is just next door and very nice,"[  1 353   7  50 139 468   2  24  66   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
id rather eat airline food seriously,"[222 354 103 790  11 171   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
they also now serve indian naan bread with hummus and some spicy pine nut sauce that was out of this world,"[ 36  53 128 791 792 793 227  26 355   2  81 192 794 795 176  30   4  75
  10   8 481   0   0]",1
your servers suck wait correction our server heimer sucked,"[ 55 282 796 121 797  42 119 798 356   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
it was equally awful,"[  9   4 333 347   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
when i opened the sandwich i was impressed but not in a good way,"[ 70   3 799   1 275   3   4 228  35  12  13   5  16 152   0   0   0   0
   0   0   0   0   0]",0
my order was not correct,"[ 18 101   4  12 800   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
this place is way too overpriced for mediocre food,"[  8  14   7 152 141 213  15 283  11   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
prices are very reasonable flavors are spot on the sauce is home made and the slaw is not drenched in mayo,"[177  25  24 229 801  25 230  31   1 176   7 357 104   2   1 802   7  12
 803  13 804   0   0]",1
good value great food great service,"[ 16 482  22  11  22  17   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
poor service the waiter made me feel like i was stupid every time he came to the table,"[268  17   1 358 104 122 109  38   3   4 805 170  40  80 102   6   1 178
   0   0   0   0   0]",0
all in all i can assure you ill be back,"[ 39  13  39   3 130 437  27 231  23  29   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
id love to go back,"[222  83   6  37  29   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
my first visit to hiro was a delight,"[ 18 100 359   6 806   4   5 807   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
they had a toro tartare with a cavier that was extraordinary and i liked the thinly sliced wagyu with white truffle,"[ 36  21   5 808 809  26   5 810  30   4 811   2   3 360   1 812 483 813
  26 361 814   0   0]",1
i also had to taste my moms multigrain pumpkin pancakes with pecan butter and they were amazing fluffy and delicious,"[  3  53  21   6 134  18 815 816 817 447  26 818 362   2  36  33  68 819
   2  63   0   0   0]",1
four stars for the food  the guy in the blue shirt for his great vibe  still letting us in to eat ,"[820 107  15   1  11   1 484  13   1 821 822  15 363  22 823 195 824  90
  13   6 103   0   0]",1
third the cheese on my friends burger was cold,"[485   1 825  31  18 173  96   4 232   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
con spotty service,"[826 827  17   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
this place is disgusting,"[  8  14   7 486   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
we literally sat there for 20 minutes with no one asking to take our order,"[ 19 487 488  49  15 489  84  26  67  65 828   6 191  42 101   0   0   0
   0   0   0   0   0]",0
by far the best cheesecurds we have ever had,"[ 76 233   1  48 829  19  28  51  21   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
ive had better bagels from the grocery store,"[ 87  21 154 830 106   1 831 832   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
maybe its just their vegetarian fare but ive been twice and i thought it was average at best,"[364  92  50  54 490 491  35  87  82 234   2   3 235   9   4 365  34  48
   0   0   0   0   0]",0
good service very clean and inexpensive to boot,"[ 16  17  24 179   2 492   6 833   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
did not like at all,[61 12 38 34 39  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],0
reasonably priced also,"[493 494  53   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
sadly gordon ramseys steak is a place we shall sharply avoid during our next trip to vegas,"[834 835 836 153   7   5  14  19 837 838 236 225  42 139 284   6  58   0
   0   0   0   0   0]",0
unfortunately we must have hit the bakery on leftover day because everything we ordered was stale,"[366  19 237  28 495   1 496  31 839 158 160 166  19  89   4 497   0   0
   0   0   0   0   0]",0
same evening him and i are both drastically sick,"[498 499 500   2   3  25 180 840 277   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
its worth driving up from tucson,"[ 92 181 841  60 106 842   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
i had the mac salad and it was pretty bland so i will not be getting that again,"[  3  21   1 843  97   2   9   4  79 112  20   3  45  12  23 187  30  77
   0   0   0   0   0]",0
the best place to go for a tasty bowl of pho,"[  1  48  14   6  37  15   5 131 501  10 210   0   0   0   0   0   0   0
   0   0   0   0   0]",1
all in all ha long bay was a bit of a flop,"[ 39  13  39 844 285 845   4   5 286  10   5 846   0   0   0   0   0   0
   0   0   0   0   0]",0
it was so bad i had lost the heart to finish it,"[  9   4  20 111   3  21 458   1 367   6 502   9   0   0   0   0   0   0
   0   0   0   0   0]",0
delicious and i will absolutely be back,"[ 63   2   3  45 161  23  29   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
this wonderful experience made this place a muststop whenever we are in town again,"[  8 287  74 104   8  14   5 847 848  19  25  13 368  77   0   0   0   0
   0   0   0   0   0]",1
but then they came back cold,"[ 35 201  36 102  29 232   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
today was my first taste of a buldogis gourmet hot dog and i have to tell you it was more than i ever thought possible,"[ 18 100 134  10   5 849 850 202 504   2   3  28   6 369  27   9   4  86
 110   3  51 235 370]",1
we started with the tuna sashimi which was brownish in color and obviously wasnt fresh,"[ 19 851  26   1 852 327  57   4 853  13 505   2 854 182 183   0   0   0
   0   0   0   0   0]",0
check it out,"[371   9  75   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
nice spicy and tender,"[ 66 192   2 197   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
not a single employee came out to see if we were ok or even needed a water refill once they finally served us our food,"[506 855 102  75   6 288  44  19  33 507 142 162 856   5 372 508 238  36
 857 373  90  42  11]",0
i gave it 5 stars then and im giving it 5 stars now,"[  3 328   9 167 107 201   2  78 858   9 167 107 128   0   0   0   0   0
   0   0   0   0   0]",1
the food was outstanding and the prices were very reasonable,"[  1  11   4 374   2   1 177  33  24 229   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the service was not up to par either,"[  1  17   4  12  60   6 859 281   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
if youre not familiar check it out,"[ 44 509  12 510 371   9  75   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
great place to have a couple drinks and watch any and all sporting events as the walls are covered with tvs,"[ 22  14   6  28   5 860 289   2 511 150   2  39 861 862  46   1 863  25
 864  26 865   0   0]",1
highly recommended,"[512 375   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
bland not a liking this place for a number of reasons and i dont want to waste time on bad reviewing ill leave it at that,"[866   8  14  15   5 867  10 868   2   3  47 129   6 239  40  31 111 869
 231 513   9  34  30]",0
but the service was beyond bad,"[ 35   1  17   4 514 111   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the steaks are all well trimmed and also perfectly cooked,"[  1 376  25  39  72 870   2  53 377 240   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the turkey and roast beef were bland,"[  1 871   2 515 290  33 112   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off,"[171 872 378  30   1 516 116  20 155 873 874  30  39  25 379 291  38 875
  26  54 876 517 241]",0
we could not believe how dirty the oysters were,"[ 19 123  12 378 140 380   1 877  33   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i really enjoyed eating here,"[  3  41 292 242  32   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
we wont be going back anytime soon,"[ 19  62  23  91  29 243 136   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
terrible management,"[135 381   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the nachos are a must have,"[  1 518  25   5 237  28   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
we waited for thirty minutes to be seated although there were 8 vacant tables and we were the only folks waiting,"[ 19 244  15 878  84   6  23 293 341  49  33 879 880 382   2  19  33   1
  71 336 245   0   0]",0
have been going since 2007 and every meal has been awesome,"[ 28  82  91 267 881   2 170 194 116  82 138   0   0   0   0   0   0   0
   0   0   0   0   0]",1
now the burgers arent as good the pizza which used to be amazing is doughy and flavorless,"[128   1 519 456  46  16   1  98  57 520   6  23  68   7 882   2 521   0
   0   0   0   0   0]",0
the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak hes ever eaten,"[ 42 153 884 885 294 116  21 153  34   1  48   2  94 265 383   9   4   1
  48 153 886  51 295]",1
i found a six inch long piece of wire in my salsa,"[  3 522   5 448 887 285 296  10 888  13  18 384   0   0   0   0   0   0
   0   0   0   0   0]",0
nargile  i think you are great,"[889   3 124  27  25  22   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
this place was such a nice surprise,"[  8  14   4 385   5  66 890   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
love the margaritas too,"[ 83   1 891 141   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the meat was pretty dry i had the sliced brisket and pulled pork,"[  1 163   4  79 297   3  21   1 483 892   2 386 387   0   0   0   0   0
   0   0   0   0   0]",0
best fish ive ever had in my life,"[ 48 298  87  51  21  13  18 893   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
server did a great job handling our large rowdy table,"[119  61   5  22 388 894  42 299 895 178   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the greek dressing was very creamy and flavorful,"[  1 389 390   4  24 896   2 467   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the cocktails are all handmade and delicious,"[  1 897  25  39 898   2  63   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
good servicecheck,"[ 16 899   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
the service was terrible food was mediocre,"[  1  17   4 135  11   4 283   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
so good i am going to have to review this place twice  once hereas a tribute to the place and once as a tribute to an event held here last night,"[523   8  14 234 238 900   5 524   6   1  14   2 238  46   5 524   6  43
 901 902  32 190 143]",1
as always the evening was wonderful and the food delicious,"[ 46 115   1 499   4 287   2   1  11  63   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
at first glance it is a lovely bakery cafe  nice ambiance clean friendly staff,"[ 34 100 903   9   7   5 525 496 329  66 188 179  59  99   0   0   0   0
   0   0   0   0   0]",1
total brunch fail,"[391 904 526   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
food was average at best,"[ 11   4 365  34  48   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i live in the neighborhood so i am disappointed i wont be back here because it is a convenient location,"[  3 527  13   1 528  20   3 209  73   3  62  23  29  32 160   9   7   5
 905 392   0   0   0]",0
the service was extremely slow,"[  1  17   4 278 132   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
definitely worth venturing off the strip for the pork belly will return next time im in vegas,"[165 181 906 241   1 907  15   1 387 529  45 273 139  40  78  13  58   0
   0   0   0   0   0]",1
i have been in more than a few bars in vegas and do not ever recall being charged for tap water,"[  3  28  82  13  86 110   5 169 530  13  58   2 133  12  51 908 118 909
  15 531 372   0   0]",0
loved itfriendly servers great food wonderful and imaginative menu,"[148 910 282  22  11 287   2 911  93   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
food was good service was good prices were good,"[ 11   4  16  17   4  16 177  33  16   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
bland and flavorless is a good way of describing the barely tepid meat,"[112   2 521   7   5  16 152  10 912   1 393 913 163   0   0   0   0   0
   0   0   0   0   0]",0
the last 3 times i had lunch here has been bad,"[  1 190 300 156   3  21 246  32 116  82 111   0   0   0   0   0   0   0
   0   0   0   0   0]",0
this place is like chipotle but better,"[  8  14   7  38 914  35 154   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
for service i give them no stars,"[ 15  17   3 301 146  67 107   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the bus boy on the other hand was so rude,"[  1 915 532  31   1 120 916   4  20 279   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the owners really really need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one,"[  1 394  41  41 395   6 917 118 918 919 533 146 920  18 921 275  13 203
 922  12  65   0   0]",0
i love this place,[ 3 83  8 14  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],1
the burrittos blah,"[  1 923 924   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
she ordered a toasted english muffin that came out untoasted,"[172  89   5 534 925 926  30 102  75 927   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i work in the hospitality industry in paradise valley and have refrained from recommending cibo any longer,"[  3 535  13   1 928 929  13 930 536   2  28 931 106 932 933 150 934   0
   0   0   0   0   0]",0
once you get inside youll be impressed with the place,"[238  27 113 218 935  23 228  26   1  14   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
best breakfast buffet,"[ 48 184 175   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
there is nothing authentic about this place,"[ 49   7 185 396  95   8  14   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
i probably would not go here again,"[  3 144  52  12  37  32  77   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
this is an outstanding little restaurant with some of the best food i have ever tasted,"[  8   7  43 374 149  69  26  81  10   1  48  11   3  28  51 157   0   0
   0   0   0   0   0]",1
total letdown i would much rather just go to the camelback flower shop and cartel coffee,"[391 936   3  52  88 354  50  37   6   1 937 537 938   2 939 538   0   0
   0   0   0   0   0]",0
the lighting is just dark enough to set the mood,"[  1 940   7  50 539 193   6 540   1 941   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
level 5 spicy was perfect where spice didnt overwhelm the soup,"[942 167 192   4 186 247 943 204 944   1 270   0   0   0   0   0   0   0
   0   0   0   0   0]",1
i dont think well be going back anytime soon,"[  3  47 124  72  23  91  29 243 136   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
its like a really sexy party in your mouth where youre outrageously flirting with the hottest person at the party,"[ 92  38   5  41 945 541  13  55 397 247 509 946 947  26   1 948 542  34
   1 541   0   0   0]",1
i will never go back to this place and will never ever recommended this place to anyone,"[  3  45  56  37  29   6   8  14   2  45  56  51 375   8  14   6 543   0
   0   0   0   0   0]",0
if there were zero stars i would give it zero stars,"[ 44  49  33 302 107   3  52 301   9 302 107   0   0   0   0   0   0   0
   0   0   0   0   0]",0
overall i wasnt very impressed with noca,"[205   3 182  24 228  26 949   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
overall a great experience,"[205   5  22  74   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
after two i felt disgusting,"[114 203   3 224 486   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
if you love authentic mexican food and want a whole bunch of interesting yet delicious meats to choose from you need to try this place,"[ 83 396 544  11   2 129   5 545 950  10 398 546  63 951   6 547 106  27
 395   6 211   8  14]",1
eew this location needs a complete overhaul,"[952   8 392 271   5 953 954   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the macarons here are insanely good,"[  1 955  32  25 956  16   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",1
real sushi lovers lets be honest  yama is not that good,"[399 125 548 957  23 400 958   7  12  30  16   0   0   0   0   0   0   0
   0   0   0   0   0]",0
they dropped more than the ball,"[ 36 959  86 110   1 960   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
ordered burger rare came in well done,"[ 89  96 334 102  13  72 303   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0]",0
the one down note is the ventilation could use some upgrading,"[  1  65 226 549   7   1 961 123 962  81 963   0   0   0   0   0   0   0
   0   0   0   0   0]",0
